,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
131,0.0044628620147705075,9.714573827964425e-05,0.0013607025146484375,7.42152269681691e-06,,entropy,34,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 34}",0.8481481481481481,0.8666666666666667,0.8851851851851852,0.8810408921933085,0.828996282527881,0.8620074349442379,0.02099049811547801,99
132,0.004445409774780274,0.00011051225546911254,0.0013797283172607422,2.1710495830215855e-05,,entropy,35,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 35}",0.8481481481481481,0.8666666666666667,0.8851851851851852,0.8810408921933085,0.828996282527881,0.8620074349442379,0.02099049811547801,99
128,0.0045320987701416016,3.8286193475552364e-05,0.001399850845336914,3.657487097934446e-05,,entropy,31,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 31}",0.8481481481481481,0.8666666666666667,0.8851851851851852,0.8810408921933085,0.828996282527881,0.8620074349442379,0.02099049811547801,99
134,0.004437398910522461,7.516085108664755e-05,0.0014191627502441405,0.00010178050885337477,,entropy,37,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 37}",0.8481481481481481,0.8666666666666667,0.8851851851851852,0.8810408921933085,0.828996282527881,0.8620074349442379,0.02099049811547801,99
135,0.004419755935668945,6.034061016060893e-05,0.0013644695281982422,1.1852065503060163e-05,,entropy,38,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 38}",0.8481481481481481,0.8666666666666667,0.8851851851851852,0.8810408921933085,0.828996282527881,0.8620074349442379,0.02099049811547801,99
133,0.0044457435607910155,5.171505078420542e-05,0.001363992691040039,4.096361464484125e-06,,entropy,36,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 36}",0.8481481481481481,0.8666666666666667,0.8851851851851852,0.8810408921933085,0.828996282527881,0.8620074349442379,0.02099049811547801,99
137,0.0044253826141357425,7.735492176773577e-05,0.0013916015625,6.574396533739913e-05,,entropy,40,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 40}",0.8481481481481481,0.8666666666666667,0.8851851851851852,0.8810408921933085,0.828996282527881,0.8620074349442379,0.02099049811547801,99
145,0.004459667205810547,8.139351894878543e-05,0.0013812065124511718,2.8104039413119477e-05,,entropy,48,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 48}",0.8481481481481481,0.8666666666666667,0.8851851851851852,0.8810408921933085,0.828996282527881,0.8620074349442379,0.02099049811547801,99
144,0.0044422149658203125,9.240213396509787e-05,0.0013576507568359374,5.088100498807624e-06,,entropy,47,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 47}",0.8481481481481481,0.8666666666666667,0.8851851851851852,0.8810408921933085,0.828996282527881,0.8620074349442379,0.02099049811547801,99
143,0.004456758499145508,3.571093296818855e-05,0.0013828277587890625,2.8836626117335367e-05,,entropy,46,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 46}",0.8481481481481481,0.8666666666666667,0.8851851851851852,0.8810408921933085,0.828996282527881,0.8620074349442379,0.02099049811547801,99
136,0.004479217529296875,7.065359104249793e-05,0.0014120578765869141,9.28406477820612e-05,,entropy,39,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 39}",0.8481481481481481,0.8666666666666667,0.8851851851851852,0.8810408921933085,0.828996282527881,0.8620074349442379,0.02099049811547801,99
142,0.004424476623535156,5.999259580157743e-05,0.0013633251190185546,2.63945627271615e-06,,entropy,45,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 45}",0.8481481481481481,0.8666666666666667,0.8851851851851852,0.8810408921933085,0.828996282527881,0.8620074349442379,0.02099049811547801,99
129,0.004464054107666015,7.157460757207753e-05,0.0013869285583496093,3.36808417219767e-05,,entropy,32,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 32}",0.8481481481481481,0.8666666666666667,0.8851851851851852,0.8810408921933085,0.828996282527881,0.8620074349442379,0.02099049811547801,99
